caracter,pronunciacion,significado,id
안녕하세요,annyeong-haseyo,hola,1
잘 지내요?,jal jinaeyo?,¿cómo estás?,2
감사합니다,"gamsahamnida",gracias,3
제발,jebal,por favor,4
안녕히 계세요,annyeonghi geseyo,adiós,5
반갑습니다,bangapseumnida,encantado de conocerte,6
안녕히 가세요,annyeonghi gaseyo,hasta luego,7
잠시만요,jamsiman-yo,un momento por favor,8
잘 가요,jal gaseyo,hasta pronto,9
안녕히 계셔요,annyeonghi gye-syeyo,hasta mañana,10
잘 있어,jal isseo,hasta luego,11
