caracter,pronunciacion,significado,id
가족,gajok,familia,1
아버지,abeoji,padre,2
어머니,eomeoni,madre,3
남동생,namdongsaeng,hermano menor,4
여동생,yeodongsaeng,hermana menor,5
아들,adul,hijo,6
딸,ttal,hija,7
할아버지,harabeoji,abuelo,8
할머니,halmeoni,abuela,9
