caracter,pronunciacion,significado,id
책,chaek,libro,1
컴퓨터,keompyuteo,computadora,2
전화기,jeonhwagi,teléfono,3
전구,jeongu,lámpara,4
침대,chimdae,cama,5
거실,geosi,sala de estar,6
