caracter,pronunciacion,significado,id
ㅏ,a,"a",1
ㅑ,ya,"ya",2
ㅓ,eo,"eo",3
ㅕ,yeo,"yeo",4
ㅗ,o,"o",5
ㅛ,yo,"yo",6
ㅜ,u,"u",7
ㅠ,yu,"yu",8
ㅡ,eu,"eu",9
ㅣ,i,"i",10
