palabra,significado
Annyeonghaseyo,"Hola"
Je ireumeun,"Mi nombre es"
Jeoneun,"Yo soy"
Saram,"Persona"
Namu,"Árbol"
Gang,"Río"
Sagwa,"Manzana"

